N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
8613;PLATEAUX;OGOU;GNAGNA;AVETE;COMPLEXE (CEG LYCEE) PROVIDENCE DIVINE;EDUCATION;LYCEE;CONFESSIONNEL;Bon;7,475203;1,150876;
8627;PLATEAUX;OGOU;GLEI;GLEI;LYCEE DE GLEI;EDUCATION;LYCEE;PUBLIC;Bon;7,324701;1,168748;
8652;PLATEAUX;EST-MONO;ELAVAGNON;ELAVAGNON;LYCEE ELAVAGNON;EDUCATION;LYCEE;PUBLIC;Bon;7,94388;1,280926;
8690;PLATEAUX;AMOU;HIHEATRO;HIHEATRO;LYCEE DE HIHEATRO;EDUCATION;LYCEE;PUBLIC;Bon;7,532195;1,09951;
8770;PLATEAUX;OGOU;GNAGNA;ATAKPAME;INSTITUT SACRE CŒUR DE L'ENFANT JESUS;EDUCATION;LYCEE;CONFESSIONNEL;Bon;7,526778;1,149166;
8771;PLATEAUX;OGOU;GNAGNA;ATAKPAME;LYCEE  AGBONOU ( CEG + LYCEE);EDUCATION;LYCEE;PUBLIC;Bon;7,506683;1,15332;
8772;PLATEAUX;OGOU;GNAGNA;AVETE;COMPLEXE (CEG LYCEE) PROVIDENCE DIVINE;EDUCATION;LYCEE;CONFESSIONNEL;Bon;7,475203;1,150876;
8803;PLATEAUX;OGOU;GLEI;GLEI;LYCEE DE GLEI;EDUCATION;LYCEE;PUBLIC;Bon;7,324701;1,168748;
8827;PLATEAUX;EST-MONO;ELAVAGNON;ELAVAGNON;LYCEE ELAVAGNON;EDUCATION;LYCEE;PUBLIC;Bon;7,94388;1,280926;
8845;PLATEAUX;AMOU;HIHEATRO;HIHEATRO;LYCEE DE HIHEATRO;EDUCATION;LYCEE;PUBLIC;Bon;7,532195;1,09951;
8929;PLATEAUX;AKEBOU;KOUGNOHOU;KOUGNOHOU;LYCEE DE KOUGNOHOU;EDUCATION;LYCEE;PUBLIC;Mauvais;7,649248;0,793731;
9067;PLATEAUX;KLOTO;LAVIE + LAVIE APEDOME;LAVIE;LYCEE DE LAVIE (CEG+ LYCEE);EDUCATION;LYCEE;PUBLIC;Bon;7,010973;0,678017;
9129;PLATEAUX;WAWA;OKOU;OKOU;LYCEE OKOU;EDUCATION;LYCEE;PUBLIC;Mauvais;7,562898;0,856982;
9180;PLATEAUX;KPELE;KPELE-NORD;KPELE AGBAHON;LYCEE KPELE NORD;EDUCATION;LYCEE;PUBLIC;Bon;7,261841;0,798103;
9193;PLATEAUX;KPELE;KPELE-NORD;KPELE ELE;LYCEE DE KPELE VILLE;EDUCATION;LYCEE;PUBLIC;Bon;7,273554;0,807471;
9203;PLATEAUX;KLOTO;KOUMA;KUMA BALA;LYCEE SAINT JOSEPH KUMA BALA;EDUCATION;LYCEE;PRIVE;Bon;6,991275;0,567127;
9207;PLATEAUX;KLOTO;KOUMA;KUMA KONDA;LYCEE DE KUMA;EDUCATION;LYCEE;PUBLIC;Bon;6,96166;0,577127;
9217;PLATEAUX;KLOTO;KOUMA;KUMA ADAME;COMPLEXE SCOLAIRE LE GUIDE( CEG+LYCEE);EDUCATION;LYCEE;PRIVE;Mauvais;6,979553;0,59611;
9290;PLATEAUX;WAWA;OKOU;OKOU;LYCEE OKOU;EDUCATION;LYCEE;PUBLIC;Mauvais;7,927243;0,853442;
9341;PLATEAUX;KPELE;KPELE-NORD;KPELE AGBAHON;LYCEE KPELE NORD;EDUCATION;LYCEE;PUBLIC;Bon;7,594387;0,636747;
9354;PLATEAUX;KPELE;KPELE-NORD;KPELE ELE;LYCEE DE KPELE VILLE;EDUCATION;LYCEE;PUBLIC;Bon;7,44368;0,603521;
9364;PLATEAUX;KLOTO;KOUMA;KUMA BALA;LYCEE SAINT JOSEPH KUMA BALA;EDUCATION;LYCEE;PRIVE;Bon;7,303186;0,748529;
9368;PLATEAUX;KLOTO;KOUMA;KUMA KONDA;LYCEE DE KUMA;EDUCATION;LYCEE;PUBLIC;Bon;7,174782;0,714888;
9378;PLATEAUX;KLOTO;KOUMA;KUMA ADAME;COMPLEXE SCOLAIRE LE GUIDE( CEG+LYCEE);EDUCATION;LYCEE;PRIVE;Mauvais;7,284714;0,712925;
9442;PLATEAUX;WAWA;TOMEGBE;TOMEGBE;LYCÉE TOMEGBE (1ER & 2ND CYCLE);EDUCATION;LYCEE;PUBLIC;Mauvais;7,503235;0,602184;
9479;PLATEAUX;DANYI;DANYI-ATIGBA + ELAVANYO;ELAVANYO;LYCÉE DE ELAVANYO (CEG);EDUCATION;LYCEE;PUBLIC;Bon;7,285244;0,718848;
9514;PLATEAUX;KLOTO;AGOME-KPALIME;KPALIME;LYCÉE DE KPODZI;EDUCATION;LYCEE;PUBLIC;Bon;6,924332;0,634354;
9546;PLATEAUX;AGOU;AGOU NYOGBO DZIDJOLE + AGBETIKO;NYOGBO DZIDZOLE;LYCÉE AGOU NYOGBO (PRIMAIRE ET SECONDAIRE 1ER ET 2ÈME DEGRÉ);EDUCATION;LYCEE;PUBLIC;Bon;6,881551;0,716016;
